"ID","ESTU","PROV","date","year_month","sex","age_group","sector_eu","sector_eu_without","education","indep","ideology","identity","income","work_sit_fact","PESO"
"1_1",3113,8,2015-09-30,"2015-09",2,"60-64","Non-tradable sectors",NA,2,1,3,5,NA,"Retired",NA
"1_1",3191,8,2017-10-02,"2017-10",2,"60-64","Non-tradable sectors",NA,2,0,3,4,7,"Retired",NA
"1_1",3202,8,2017-12-28,"2017-12",2,"60-64","Non-tradable sectors",NA,2,NA,NA,2,NA,"Retired",1.8325
"1_1",3226,8,2018-10-01,"2018-10",2,"60-64","Non-tradable sectors",NA,2,0,3,3,3,"Retired",NA
"1_2",3113,8,2015-09-30,"2015-09",2,"60-64","Non-tradable sectors",NA,2,0,1,3,5,NA,NA
"1_2",3191,8,2017-10-02,"2017-10",2,"60-64","Non-tradable sectors",NA,2,0,3,5,NA,"Currently working",NA
"1_2",3202,8,2017-12-28,"2017-12",2,"60-64","Non-tradable sectors",NA,2,1,5,4,NA,"Currently working",1.8325
"1_2",3226,8,2018-10-01,"2018-10",2,"60-64","Non-tradable sectors",NA,2,0,4,3,NA,"Currently working",NA
"100_1",3113,8,2015-09-30,"2015-09",1,"80+","Non-tradable sectors",NA,1,0,5,3,5,"Retired",NA
"100_1",3191,8,2017-10-02,"2017-10",1,"80+","Non-tradable sectors",NA,1,0,7,2,NA,"Retired",NA
"100_1",3202,8,2017-12-28,"2017-12",1,"80+","Non-tradable sectors",NA,1,0,7,1,4,"Retired",1.8325
"100_1",3226,8,2018-10-01,"2018-10",1,"80+","Non-tradable sectors",NA,1,NA,3,3,4,"Retired",NA
"101_1",3113,8,2015-09-30,"2015-09",2,"30-34","Non-tradable sectors",NA,2,0,5,3,5,"Currently working",NA
"101_1",3191,8,2017-10-02,"2017-10",2,"30-34","Non-tradable sectors",NA,2,NA,5,5,NA,"Currently working",NA
"101_1",3202,8,2017-12-28,"2017-12",2,"30-34","Non-tradable sectors",NA,2,1,4,5,NA,"Currently working",1.8325
"101_1",3226,43,2018-10-01,"2018-10",2,"30-34","Non-tradable sectors",NA,2,NA,NA,3,NA,"Unemployed",NA
"103_1",3113,8,2015-09-30,"2015-09",2,"30-34","Non-tradable sectors",NA,4,1,NA,3,8,"Currently working",NA
"103_1",3191,8,2017-10-02,"2017-10",2,"30-34","Non-tradable sectors",NA,4,NA,9,3,NA,"Unemployed",NA
"103_1",3202,8,2017-12-28,"2017-12",2,"30-34","Non-tradable sectors",NA,4,0,3,3,7,"Currently working",1.8325
"103_1",3226,8,2018-10-01,"2018-10",2,"30-34","Non-tradable sectors",NA,4,NA,5,3,6,"Currently working",NA
"103_2",3113,8,2015-09-30,"2015-09",2,"30-34","Non-tradable sectors",NA,4,NA,5,3,4,"Unemployed",NA
"103_2",3191,8,2017-10-02,"2017-10",2,"30-34","Non-tradable sectors",NA,4,NA,4,4,NA,"Currently working",NA
"103_2",3202,8,2017-12-28,"2017-12",2,"30-34","Non-tradable sectors",NA,4,1,3,4,6,"Currently working",1.8325
"103_2",3226,8,2018-10-01,"2018-10",2,"30-34","Non-tradable sectors",NA,4,0,3,4,NA,"Currently working",NA
"103_3",3113,8,2015-09-30,"2015-09",2,"30-34","Non-tradable sectors",NA,4,NA,3,3,NA,"Currently working",NA
